GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PNDFRC01IMPL,com.bbva.pndf.lib.rc01.impl,PNDFRC01Abstract,0,11,0,0,0,5,0,3,0,3
PNDFRC01IMPL,com.bbva.pndf.lib.rc01.impl,PNDFRC01Impl,0,62,0,2,0,13,0,4,0,3
