GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PNDFTC01-01-PE,com.bbva.pndf,AbstractPNDFTC0101PETransaction,0,13,0,0,0,5,0,3,0,3
PNDFTC01-01-PE,com.bbva.pndf,PNDFTC0101PETransaction,0,28,0,0,0,8,0,3,0,3
